"TIME","GEO","UNIT","Value","FlagandFootnotes"
"1990","Italy","Personspersquarekilometre","188.2",""
"1990","Nord-Ovest","Personspersquarekilometre","273.7",""
"1990","Piemonte","Personspersquarekilometre","169.9",""
"1990","Torino","Personspersquarekilometre","329.4",""
"1990","Vercelli","Personspersquarekilometre","61.3",""
"1990","Biella","Personspersquarekilometre",":",""
"1990","Verbano-Cusio-Ossola","Personspersquarekilometre",":",""
"1990","Novara","Personspersquarekilometre","93.4",""
"1990","Cuneo","Personspersquarekilometre","79.0",""
"1990","Asti","Personspersquarekilometre","137.6",""
"1990","Alessandria","Personspersquarekilometre","123.8",""
"1990","Valled'Aosta/Valléed'Aoste","Personspersquarekilometre","35.2",""
"1990","Valled'Aosta/Valléed'Aoste","Personspersquarekilometre","35.2",""
"1990","Liguria","Personspersquarekilometre","311.8",""
"1990","Imperia","Personspersquarekilometre","185.3",""
"1990","Savona","Personspersquarekilometre","184.8",""
"1990","Genova","Personspersquarekilometre","523.7",""
"1990","LaSpezia","Personspersquarekilometre","258.6",""
"1990","Lombardia","Personspersquarekilometre","370.7",""
"1990","Varese","Personspersquarekilometre","661.4",""
"1990","Como","Personspersquarekilometre","250.8",""
"1990","Lecco","Personspersquarekilometre",":",""
"1990","Sondrio","Personspersquarekilometre","54.8",""
"1990","Bergamo","Personspersquarekilometre","326.8",""
"1990","Brescia","Personspersquarekilometre","217.1",""
"1990","Pavia","Personspersquarekilometre","165.9",""
"1990","Lodi","Personspersquarekilometre",":",""
"1990","Cremona","Personspersquarekilometre","184.6",""
"1990","Mantova","Personspersquarekilometre","158.8",""
"1990","Milano","Personspersquarekilometre",":",""
"1990","MonzaedellaBrianza","Personspersquarekilometre",":",""
"1990","Nord-Est","Personspersquarekilometre",":",""
"1990","ProvinciaAutonomadiBolzano/Bozen","Personspersquarekilometre","59.2",""
"1990","Bolzano-Bozen","Personspersquarekilometre","59.2",""
"1990","ProvinciaAutonomadiTrento","Personspersquarekilometre","71.9",""
"1990","Trento","Personspersquarekilometre","71.9",""
"1990","Veneto","Personspersquarekilometre","237.9",""
"1990","Verona","Personspersquarekilometre","253.5",""
"1990","Vicenza","Personspersquarekilometre","273.1",""
"1990","Belluno","Personspersquarekilometre","57.8",""
"1990","Treviso","Personspersquarekilometre","298.7",""
"1990","Venezia","Personspersquarekilometre","334.2",""
"1990","Padova","Personspersquarekilometre","381.7",""
"1990","Rovigo","Personspersquarekilometre","138.7",""
"1990","Friuli-VeneziaGiulia","Personspersquarekilometre","152.9",""
"1990","Pordenone","Personspersquarekilometre","120.8",""
"1990","Udine","Personspersquarekilometre","106.7",""
"1990","Gorizia","Personspersquarekilometre","296.9",""
"1990","Trieste","Personspersquarekilometre","1245.3",""
"1990","Emilia-Romagna","Personspersquarekilometre",":",""
"1990","Piacenza","Personspersquarekilometre","103.6",""
"1990","Parma","Personspersquarekilometre","113.3",""
"1990","Reggionell'Emilia","Personspersquarekilometre","182.1",""
"1990","Modena","Personspersquarekilometre","223.5",""
"1990","Bologna","Personspersquarekilometre","245.1",""
"1990","Ferrara","Personspersquarekilometre","137.8",""
"1990","Ravenna","Personspersquarekilometre","188.7",""
"1990","Forlì-Cesena","Personspersquarekilometre","119.6",""
"1990","Rimini","Personspersquarekilometre",":",""
"1990","Centro(IT)","Personspersquarekilometre",":",""
"1990","Toscana","Personspersquarekilometre","153.6",""
"1990","Massa-Carrara","Personspersquarekilometre","173.4",""
"1990","Lucca","Personspersquarekilometre","212.8",""
"1990","Pistoia","Personspersquarekilometre","273.6",""
"1990","Firenze","Personspersquarekilometre","250.2",""
"1990","Prato","Personspersquarekilometre",":",""
"1990","Livorno","Personspersquarekilometre","278.5",""
"1990","Pisa","Personspersquarekilometre","157.3",""
"1990","Arezzo","Personspersquarekilometre","97.0",""
"1990","Siena","Personspersquarekilometre","65.6",""
"1990","Grosseto","Personspersquarekilometre","48.0",""
"1990","Umbria","Personspersquarekilometre","95.8",""
"1990","Perugia","Personspersquarekilometre","92.7",""
"1990","Terni","Personspersquarekilometre","105.1",""
"1990","Marche","Personspersquarekilometre",":",""
"1990","PesaroeUrbino","Personspersquarekilometre",":",""
"1990","Ancona","Personspersquarekilometre","224.7",""
"1990","Macerata","Personspersquarekilometre","106.2",""
"1990","AscoliPiceno","Personspersquarekilometre",":",""
"1990","Fermo","Personspersquarekilometre",":",""
"1990","Lazio","Personspersquarekilometre","297.4",""
"1990","Viterbo","Personspersquarekilometre","76.8",""
"1990","Rieti","Personspersquarekilometre","52.6",""
"1990","Roma","Personspersquarekilometre","701.3",""
"1990","Latina","Personspersquarekilometre","209.1",""
"1990","Frosinone","Personspersquarekilometre","146.2",""
"1990","Sud","Personspersquarekilometre","189.7",""
"1990","Abruzzo","Personspersquarekilometre","115.3",""
"1990","L'Aquila","Personspersquarekilometre","58.9",""
"1990","Teramo","Personspersquarekilometre","143.0",""
"1990","Pescara","Personspersquarekilometre","235.6",""
"1990","Chieti","Personspersquarekilometre","147.2",""
"1990","Molise","Personspersquarekilometre","74.5",""
"1990","Isernia","Personspersquarekilometre","31.6",""
"1990","Campobasso","Personspersquarekilometre","156.0",""
"1990","Campania","Personspersquarekilometre","413.0",""
"1990","Caserta","Personspersquarekilometre","306.3",""
"1990","Benevento","Personspersquarekilometre","141.2",""
"1990","Napoli","Personspersquarekilometre","2575.7",""
"1990","Avellino","Personspersquarekilometre","156.7",""
"1990","Salerno","Personspersquarekilometre","215.3",""
"1990","Puglia","Personspersquarekilometre","207.6",""
"1990","Taranto","Personspersquarekilometre","242.0",""
"1990","Brindisi","Personspersquarekilometre","223.1",""
"1990","Lecce","Personspersquarekilometre","290.2",""
"1990","Foggia","Personspersquarekilometre",":",""
"1990","Bari","Personspersquarekilometre",":",""
"1990","Barletta-Andria-Trani","Personspersquarekilometre",":",""
"1990","Basilicata","Personspersquarekilometre","61.1",""
"1990","Potenza","Personspersquarekilometre","61.5",""
"1990","Matera","Personspersquarekilometre","60.5",""
"1990","Calabria","Personspersquarekilometre","137.8",""
"1990","Cosenza","Personspersquarekilometre","113.0",""
"1990","Crotone","Personspersquarekilometre",":",""
"1990","Catanzaro","Personspersquarekilometre","73.1",""
"1990","ViboValentia","Personspersquarekilometre",":",""
"1990","ReggiodiCalabria","Personspersquarekilometre","182.2",""
"1990","Isole","Personspersquarekilometre","132.8",""
"1990","Sicilia","Personspersquarekilometre","193.4",""
"1990","Trapani","Personspersquarekilometre","173.6",""
"1990","Palermo","Personspersquarekilometre","245.7",""
"1990","Messina","Personspersquarekilometre","199.8",""
"1990","Agrigento","Personspersquarekilometre","156.6",""
"1990","Caltanissetta","Personspersquarekilometre","131.5",""
"1990","Enna","Personspersquarekilometre","73.1",""
"1990","Catania","Personspersquarekilometre","291.3",""
"1990","Ragusa","Personspersquarekilometre","178.6",""
"1990","Siracusa","Personspersquarekilometre","190.5",""
"1990","Sardegna","Personspersquarekilometre","68.1",""
"1990","Sassari","Personspersquarekilometre",":",""
"1990","Nuoro","Personspersquarekilometre",":",""
"1990","Cagliari","Personspersquarekilometre",":",""
"1990","Oristano","Personspersquarekilometre",":",""
"1990","Olbia-Tempio","Personspersquarekilometre",":",""
"1990","Ogliastra","Personspersquarekilometre",":",""
"1990","MedioCampidano","Personspersquarekilometre",":",""
"1990","Carbonia-Iglesias","Personspersquarekilometre",":",""
"1991","Italy","Personspersquarekilometre","188.4",""
"1991","Nord-Ovest","Personspersquarekilometre","273.5",""
"1991","Piemonte","Personspersquarekilometre","169.4",""
"1991","Torino","Personspersquarekilometre","327.7",""
"1991","Vercelli","Personspersquarekilometre","61.3",""
"1991","Biella","Personspersquarekilometre",":",""
"1991","Verbano-Cusio-Ossola","Personspersquarekilometre",":",""
"1991","Novara","Personspersquarekilometre","93.2",""
"1991","Cuneo","Personspersquarekilometre","79.2",""
"1991","Asti","Personspersquarekilometre","137.9",""
"1991","Alessandria","Personspersquarekilometre","123.2",""
"1991","Valled'Aosta/Valléed'Aoste","Personspersquarekilometre","35.4",""
"1991","Valled'Aosta/Valléed'Aoste","Personspersquarekilometre","35.4",""
"1991","Liguria","Personspersquarekilometre","310.0",""
"1991","Imperia","Personspersquarekilometre","184.9",""
"1991","Savona","Personspersquarekilometre","184.3",""
"1991","Genova","Personspersquarekilometre","519.4",""
"1991","LaSpezia","Personspersquarekilometre","257.6",""
"1991","Lombardia","Personspersquarekilometre","371.1",""
"1991","Varese","Personspersquarekilometre","663.7",""
"1991","Como","Personspersquarekilometre","252.1",""
"1991","Lecco","Personspersquarekilometre",":",""
"1991","Sondrio","Personspersquarekilometre","54.8",""
"1991","Bergamo","Personspersquarekilometre","328.8",""
"1991","Brescia","Personspersquarekilometre","218.0",""
"1991","Pavia","Personspersquarekilometre","165.7",""
"1991","Lodi","Personspersquarekilometre",":",""
"1991","Cremona","Personspersquarekilometre","184.9",""
"1991","Mantova","Personspersquarekilometre","159.1",""
"1991","Milano","Personspersquarekilometre",":",""
"1991","MonzaedellaBrianza","Personspersquarekilometre",":",""
"1991","Nord-Est","Personspersquarekilometre",":",""
"1991","ProvinciaAutonomadiBolzano/Bozen","Personspersquarekilometre","59.4",""
"1991","Bolzano-Bozen","Personspersquarekilometre","59.4",""
"1991","ProvinciaAutonomadiTrento","Personspersquarekilometre","72.3",""
"1991","Trento","Personspersquarekilometre","72.2",""
"1991","Veneto","Personspersquarekilometre","238.3",""
"1991","Verona","Personspersquarekilometre","254.2",""
"1991","Vicenza","Personspersquarekilometre","274.3",""
"1991","Belluno","Personspersquarekilometre","57.7",""
"1991","Treviso","Personspersquarekilometre","299.9",""
"1991","Venezia","Personspersquarekilometre","333.6",""
"1991","Padova","Personspersquarekilometre","382.6",""
"1991","Rovigo","Personspersquarekilometre","138.6",""
"1991","Friuli-VeneziaGiulia","Personspersquarekilometre","152.6",""
"1991","Pordenone","Personspersquarekilometre","121.0",""
"1991","Udine","Personspersquarekilometre","106.7",""
"1991","Gorizia","Personspersquarekilometre","296.4",""
"1991","Trieste","Personspersquarekilometre","1236.6",""
