"TIME","GEO","UNIT","Value","Flag and Footnotes"
"1990","Italy","Persons per square kilometre","188.2",""
"1990","Nord-Ovest","Persons per square kilometre","273.7",""
"1990","Nord-Est","Persons per square kilometre",":",""
"1990","Centro (IT)","Persons per square kilometre",":",""
"1990","Sud","Persons per square kilometre","189.7",""
"1990","Isole","Persons per square kilometre","132.8",""
"1991","Italy","Persons per square kilometre","188.4",""
"1991","Nord-Ovest","Persons per square kilometre","273.5",""
"1991","Nord-Est","Persons per square kilometre",":",""
"1991","Centro (IT)","Persons per square kilometre",":",""
"1991","Sud","Persons per square kilometre","190.0",""
"1991","Isole","Persons per square kilometre","132.8",""
"1992","Italy","Persons per square kilometre","192.5",""
"1992","Nord-Ovest","Persons per square kilometre","265.8",""
"1992","Nord-Est","Persons per square kilometre",":",""
"1992","Centro (IT)","Persons per square kilometre",":",""
"1992","Sud","Persons per square kilometre","193.3",""
"1992","Isole","Persons per square kilometre","134.3",""
"1993","Italy","Persons per square kilometre","192.6",""
"1993","Nord-Ovest","Persons per square kilometre","265.6",""
"1993","Nord-Est","Persons per square kilometre",":",""
"1993","Centro (IT)","Persons per square kilometre",":",""
"1993","Sud","Persons per square kilometre","193.7",""
"1993","Isole","Persons per square kilometre","134.7",""
"1994","Italy","Persons per square kilometre","192.6",""
"1994","Nord-Ovest","Persons per square kilometre","265.1",""
"1994","Nord-Est","Persons per square kilometre",":",""
"1994","Centro (IT)","Persons per square kilometre",":",""
"1994","Sud","Persons per square kilometre","194.1",""
"1994","Isole","Persons per square kilometre","134.9",""
"1995","Italy","Persons per square kilometre","192.6",""
"1995","Nord-Ovest","Persons per square kilometre","264.8",""
"1995","Nord-Est","Persons per square kilometre",":",""
"1995","Centro (IT)","Persons per square kilometre",":",""
"1995","Sud","Persons per square kilometre","194.3",""
"1995","Isole","Persons per square kilometre","135.1",""
"1996","Italy","Persons per square kilometre","192.7",""
"1996","Nord-Ovest","Persons per square kilometre","264.7",""
"1996","Nord-Est","Persons per square kilometre",":",""
"1996","Centro (IT)","Persons per square kilometre",":",""
"1996","Sud","Persons per square kilometre","194.4",""
"1996","Isole","Persons per square kilometre","135.1",""
"1997","Italy","Persons per square kilometre","192.8",""
"1997","Nord-Ovest","Persons per square kilometre","264.8",""
"1997","Nord-Est","Persons per square kilometre",":",""
"1997","Centro (IT)","Persons per square kilometre",":",""
"1997","Sud","Persons per square kilometre","194.4",""
"1997","Isole","Persons per square kilometre","135.1",""
"1998","Italy","Persons per square kilometre","192.8",""
"1998","Nord-Ovest","Persons per square kilometre","264.8",""
"1998","Nord-Est","Persons per square kilometre",":",""
"1998","Centro (IT)","Persons per square kilometre",":",""
"1998","Sud","Persons per square kilometre","194.2",""
"1998","Isole","Persons per square kilometre","134.9",""
"1999","Italy","Persons per square kilometre","192.9",""
"1999","Nord-Ovest","Persons per square kilometre","265.0",""
"1999","Nord-Est","Persons per square kilometre",":",""
"1999","Centro (IT)","Persons per square kilometre",":",""
"1999","Sud","Persons per square kilometre","193.9",""
"1999","Isole","Persons per square kilometre","134.7",""
"2000","Italy","Persons per square kilometre","193.0",""
"2000","Nord-Ovest","Persons per square kilometre","265.2",""
"2000","Nord-Est","Persons per square kilometre",":",""
"2000","Centro (IT)","Persons per square kilometre",":",""
"2000","Sud","Persons per square kilometre","193.5",""
"2000","Isole","Persons per square kilometre","134.4",""
"2001","Italy","Persons per square kilometre","193.1",""
"2001","Nord-Ovest","Persons per square kilometre","265.5",""
"2001","Nord-Est","Persons per square kilometre","170.7",""
"2001","Centro (IT)","Persons per square kilometre","187.7",""
"2001","Sud","Persons per square kilometre","193.1",""
"2001","Isole","Persons per square kilometre","134.0",""
"2002","Italy","Persons per square kilometre","193.3",""
"2002","Nord-Ovest","Persons per square kilometre","266.0",""
"2002","Nord-Est","Persons per square kilometre","171.6",""
"2002","Centro (IT)","Persons per square kilometre","188.0",""
"2002","Sud","Persons per square kilometre","192.9",""
"2002","Isole","Persons per square kilometre","133.7",""
"2003","Italy","Persons per square kilometre","194.2",""
"2003","Nord-Ovest","Persons per square kilometre","267.5",""
"2003","Nord-Est","Persons per square kilometre","173.1",""
"2003","Centro (IT)","Persons per square kilometre","189.1",""
"2003","Sud","Persons per square kilometre","193.1",""
"2003","Isole","Persons per square kilometre","133.7",""
"2004","Italy","Persons per square kilometre","195.5",""
"2004","Nord-Ovest","Persons per square kilometre","269.9",""
"2004","Nord-Est","Persons per square kilometre","174.9",""
"2004","Centro (IT)","Persons per square kilometre","190.7",""
"2004","Sud","Persons per square kilometre","193.5",""
"2004","Isole","Persons per square kilometre","133.9",""
"2005","Italy","Persons per square kilometre","196.4",""
"2005","Nord-Ovest","Persons per square kilometre","271.8",""
"2005","Nord-Est","Persons per square kilometre","176.4",""
"2005","Centro (IT)","Persons per square kilometre","191.9",""
"2005","Sud","Persons per square kilometre","193.6",""
"2005","Isole","Persons per square kilometre","133.9",""
"2006","Italy","Persons per square kilometre","197.0",""
"2006","Nord-Ovest","Persons per square kilometre","273.0",""
"2006","Nord-Est","Persons per square kilometre","177.5",""
"2006","Centro (IT)","Persons per square kilometre","192.8",""
"2006","Sud","Persons per square kilometre","193.4",""
"2006","Isole","Persons per square kilometre","133.9",""
"2007","Italy","Persons per square kilometre","198.0",""
"2007","Nord-Ovest","Persons per square kilometre","274.6",""
"2007","Nord-Est","Persons per square kilometre","179.1",""
"2007","Centro (IT)","Persons per square kilometre","194.4",""
"2007","Sud","Persons per square kilometre","193.5",""
"2007","Isole","Persons per square kilometre","134.1",""
"2008","Italy","Persons per square kilometre","199.3",""
"2008","Nord-Ovest","Persons per square kilometre","276.6",""
"2008","Nord-Est","Persons per square kilometre","181.0",""
"2008","Centro (IT)","Persons per square kilometre","196.4",""
"2008","Sud","Persons per square kilometre","193.8",""
"2008","Isole","Persons per square kilometre","134.4",""
"2009","Italy","Persons per square kilometre","200.2",""
"2009","Nord-Ovest","Persons per square kilometre","278.1",""
"2009","Nord-Est","Persons per square kilometre","182.3",""
"2009","Centro (IT)","Persons per square kilometre","197.9",""
"2009","Sud","Persons per square kilometre","193.9",""
"2009","Isole","Persons per square kilometre","134.6",""
"2010","Italy","Persons per square kilometre","200.9",""
"2010","Nord-Ovest","Persons per square kilometre","279.2",""
"2010","Nord-Est","Persons per square kilometre","183.1",""
"2010","Centro (IT)","Persons per square kilometre","198.9",""
"2010","Sud","Persons per square kilometre","194.0",""
"2010","Isole","Persons per square kilometre","134.7",""
"2011","Italy","Persons per square kilometre","201.2",""
"2011","Nord-Ovest","Persons per square kilometre","279.9",""
"2011","Nord-Est","Persons per square kilometre","183.5",""
"2011","Centro (IT)","Persons per square kilometre","199.5",""
"2011","Sud","Persons per square kilometre","194.0",""
"2011","Isole","Persons per square kilometre","134.7",""
"2012","Italy","Persons per square kilometre","201.8",""
"2012","Nord-Ovest","Persons per square kilometre","281.1",""
"2012","Nord-Est","Persons per square kilometre","184.3",""
"2012","Centro (IT)","Persons per square kilometre","200.5",""
"2012","Sud","Persons per square kilometre","193.9",""
"2012","Isole","Persons per square kilometre","134.7",""
"2013","Italy","Persons per square kilometre","199.4",""
"2013","Nord-Ovest","Persons per square kilometre","276.1",""
"2013","Nord-Est","Persons per square kilometre","185.9",""
"2013","Centro (IT)","Persons per square kilometre","204.5",""
"2013","Sud","Persons per square kilometre","190.7",""
"2013","Isole","Persons per square kilometre","134.2",""
"2014","Italy","Persons per square kilometre","206.0",""
"2014","Nord-Ovest","Persons per square kilometre","286.9",""
"2014","Nord-Est","Persons per square kilometre","187.0",""
"2014","Centro (IT)","Persons per square kilometre","208.0",""
"2014","Sud","Persons per square kilometre","196.5",""
"2014","Isole","Persons per square kilometre","137.1",""
"2015","Italy","Persons per square kilometre","205.8",""
"2015","Nord-Ovest","Persons per square kilometre","286.8",""
"2015","Nord-Est","Persons per square kilometre","187.0",""
"2015","Centro (IT)","Persons per square kilometre","208.0",""
"2015","Sud","Persons per square kilometre","196.1",""
"2015","Isole","Persons per square kilometre","136.8",""
"2016","Italy","Persons per square kilometre","205.4","b"
"2016","Nord-Ovest","Persons per square kilometre","286.5","b"
"2016","Nord-Est","Persons per square kilometre","186.8","b"
"2016","Centro (IT)","Persons per square kilometre","207.8","b"
"2016","Sud","Persons per square kilometre","195.5","b"
"2016","Isole","Persons per square kilometre","136.3","b"
"2017","Italy","Persons per square kilometre","203.3",""
"2017","Nord-Ovest","Persons per square kilometre","283.2",""
"2017","Nord-Est","Persons per square kilometre","192.3",""
"2017","Centro (IT)","Persons per square kilometre","209.9",""
"2017","Sud","Persons per square kilometre","191.4",""
"2017","Isole","Persons per square kilometre","135.2",""
