VIma.call,MApcr,Latitude,Longitude
1,24.23,39.30902,-122.1068
0,29.17,61.3255,-163.4436
0,50,39.30902,-122.1068
1,38.15,31.20658,-91.888596
0,38.56,58.3,-134.5
0,42.99,66.45172,-145.53523
0,34.3,43.65132,-91.25681
0,29.74,42.20086,-111.3652
0,39.41,43.82487,-117.00777
1,32.62,40.93,-111.95
1,29.54,43.041,-112.553
0,50,42.55563,-118.51764
0,50,61.3152,-166.0548
0,50,60.4832,-164.0521
0,50,61.3255,-163.4436
0,50,64.91,-148.801
0,50,55.354,-162.70167
0,50,55.3066,-162.7412
0,50,60.1308,-162.0128
0,50,61.562,-162.523
0,50,60.8394,-164.9931
0,50,58.65738091,-156.8398199
0,50,67.0527,-161.5573
0,50,66.33295,-147.99663
0,37.24,61.5762,-163.8977
0,50,61.5112,-149.5577
0,37.96,42.2009,-111.3652
0,50,46.91999817,-119.2300034
0,50,39.415038,-122.190948
0,50,38.464,-98.657
0,50,39.06185,-121.73863
0,50,48.453322,-92.921289
0,50,43.8606389,-69.3819911
0,50,43.903916,-91.323527
0,50,43.35525,-84.00822
0,50,39.26126,-90.80387
1,35.62,43.90391541,-91.32352448
0,50,38.464,-98.657
0,32.52,38.464,-98.657
0,36.97,39.3667,-121.8692
0,50,34.09936,-90.13025
0,32.61,65.42,-156.05
0,33.67,64.27,-157.49
1,29.6,66.45172,-145.53523
1,25.63,61.5061,-149.5482
0,35.56,43.65132,-91.25681
0,31.84,56.023711,-160.819395
0,27.89,42.20086,-111.3652
1,33.33,63.69578,-170.48096
1,27.97,48.64771,-100.77941
0,50,29.60833333,-94.42805556
0,50,47.03253937,-124.1656189
0,50,61.3152,-166.0548
0,50,60.0857,-164.1708
0,50,66.1524,-166.0419
0,50,61.3255,-163.4436
0,50,64.91,-148.801
0,50,55.4041,-162.71549
0,50,55.3066,-162.7412
0,50,60.1308,-162.0128
0,50,61.562,-162.523
0,50,60.1308,-162.0128
0,50,60.8394,-164.9931
0,50,63.2023,-158.63594
0,50,57.98244,-157.23643
0,40.55,61.314376,-165.786504
1,29.26,61.5112,-149.5577
0,50,42.2009,-111.3652
0,33.15,47.11199951,-119.1009979
0,50,43.5758,-116.68577
0,50,39.415038,-122.190948
0,50,29.60833333,-94.42805556
0,50,39.06185,-121.73863
0,33.75,60.21889,-162.02444
0,50,32.597,-92.227
0,50,48.453322,-92.921289
0,27.93,43.903916,-91.323527
0,50,43.90391541,-91.32352448
0,50,43.35525,-84.00822
0,50,38.464,-98.657
0,50,39.295,-93.31972
1,30.77,64.8789,-148.8436
1,30.27,64.9117,-148.7505
1,31.19,64.8789,-148.8436
0,30.25,41.6156,-83.21604
0,36.12,39.30902,-122.1068
